adding.1	run-ok	7372	243	0.06
adding.2	timeout	5s		5.02
adding.3	timeout	5s		5.02
adding.4	timeout	5s		5.02
adding.5	timeout	5s		5.02
adding.6	timeout	5s		5.02
at.1	run-ok	39354	981	0.09
at.2	run-ok	49443	1057	0.11
at.3	run-ok	1711620	6398	2.27
at.4	run-ok	6597245	5492	2.01
at.5	timeout	5s		5.01
at.6	timeout	5s		5.01
at.7	timeout	5s		5.01
bakery.1	run-ok	1506	457	0.05
bakery.2	run-ok	1146	316	0.04
bakery.3	run-ok	32919	3779	0.32
bakery.4	run-ok	157003	6989	0.79
bakery.5	timeout	5s		5.01
bakery.6	timeout	5s		5.01
bakery.7	timeout	5s		5.01
bakery.8	timeout	5s		5.01
blocks.2	run-ok	7057	1272	0.06
blocks.3	run-ok	695418	11514	1.78
blocks.4	timeout	5s		5.01
bopdp.1	run-ok	12642	1093	0.11
bopdp.2	run-ok	25685	910	0.19
bopdp.3	run-ok	1040953	2976	1.80
bridge.1	run-ok	3186	1020	0.05
bridge.2	run-ok	96923	5298	0.34
bridge.3	run-ok	838864	23131	2.50
brp.1	run-ok	18928	1700	0.19
brp2.1	run-ok	42285	13074	0.63
brp2.2	run-ok	61464	15252	1.11
brp2.3	run-ok	40184	12682	0.61
brp2.4	timeout	5s		5.01
brp2.5	run-ok	298111	40462	3.18
brp2.6	timeout	5s		5.01
brp.2	run-ok	29188	1633	0.23
brp.3	run-ok	996627	4045	3.71
brp.4	timeout	5s		5.01
brp.5	timeout	5s		5.01
brp.6	timeout	5s		5.02
cambridge.1	run-ok	11339	1564	0.43
cambridge.2	run-ok	15940	1704	0.61
cambridge.3	run-ok	18138	1788	0.55
cambridge.4	run-ok	60463	3455	2.56
cambridge.5	timeout	5s		5.01
cambridge.6	timeout	5s		5.01
cambridge.7	timeout	5s		5.01
collision.1	run-ok	5593	128	0.05
collision.2	run-ok	12661	130	0.06
collision.3	run-ok	434530	788	0.43
collision.4	timeout	5s		5.01
collision.5	timeout	5s		5.01
collision.6	timeout	5s		5.01
cyclic_scheduler.1	run-ok	4606	133	0.04
cyclic_scheduler.2	run-ok	3302	114	0.04
cyclic_scheduler.3	run-ok	229374	223	0.07
cyclic_scheduler.4	run-ok	473414	222	0.07
driving_phils.1	run-ok	14889	1028	0.17
driving_phils.2	run-ok	33173	1378	0.14
driving_phils.3	timeout	5s		5.01
driving_phils.4	timeout	5s		5.01
driving_phils.5	timeout	5s		5.01
elevator.1	run-ok	8543	3521	0.29
elevator2.1	run-ok	1728	72	0.03
elevator2.2	run-ok	179200	21121	0.28
elevator2.3	run-ok	7667712	272	0.08
elevator.2	run-ok	2825	1985	0.11
